authorLast,authorFirst,bookTitle,pubYear,pageCount,listName,listRank,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,ratingGR,countLT,ratingLT
Cheever,John,The Wapshot Chronicle,1957,576,Modern Library Board,63,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11890.The_Wapshot_Chronicle,http://www.librarything.com/work/37525/book/87206072,1912,Male,44,White,American,6581,3.77,1328,3.7
Clancy,Tom,The Hunt for Red October,1984,656,Modern Library Readers,81,Novel,Adult,English,Mystery,Male,Primary,https://www.goodreads.com/book/show/19691.The_Hunt_for_Red_October,http://www.librarything.com/work/828677/book/157045877,1947,Male,36,White,American,316065,4.06,8902,3.9899999999999998
Coetzee,J.M,Waiting for the Barbarians,1980,192,American Book Review,92,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/6194.Waiting_for_the_Barbarians,http://www.librarything.com/work/3619/book/64293912,1940,Male,39,White,South African,22902,3.93,3447,3.96
Conrad,Joseph,Heart of Darkness,1899,102,Modern Library Readers,43,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,http://www.librarything.com/work/2575/book/11720258,1857,Male,41,White,Polish,376459,3.42,18218,3.57
Conrad,Joseph,Heart of Darkness,1899,102,Modern Library Board,67,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,http://www.librarything.com/work/2575/book/11720258,1857,Male,41,White,Polish,376459,3.42,18218,3.57
Conrad,Joseph,Heart of Darkness,1899,102,American Book Review,28,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,http://www.librarything.com/work/2575/book/11720258,1857,Male,41,White,Polish,376459,3.42,18218,3.57
Conrad,Joseph,Lord Jim,1900,400,Modern Library Board,85,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/12194.Lord_Jim,http://www.librarything.com/work/15933/book/24408782,1857,Male,42,White,Polish,26050,3.62,7141,3.69
Conrad,Joseph,Nostromo,1904,336,Modern Library Board,47,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/115476.Nostromo,http://www.librarything.com/work/48887/book/26731706,1857,Male,46,White,Polish,14741,3.82,3766,3.79
Conrad,Joseph,The Secret Agent,1907,304,Modern Library Board,46,Novel,Adult,English,Mystery,Male,Primary,https://www.goodreads.com/book/show/86658.The_Secret_Agent,http://www.librarything.com/work/7220/book/26731702,1857,Male,49,White,Polish,17303,3.59,5184,3.62
Coover,Robert,Pricksongs and Descants,1967,256,American Book Review,74,Stories,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/156194.Pricksongs_and_Descants,http://www.librarything.com/work/271307/book/28304106,1932,Male,34,White,American,1188,3.8,537,3.6
Coover,Robert,The Public Burning,1977,544,American Book Review,4,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/156198.The_Public_Burning,http://www.librarything.com/work/156736/book/30700490,1932,Male,44,White,American,1115,4.02,519,3.8299999999999996
Coover,Robert,"The Universal Baseball Association, Inc., J. Henry Waugh, Prop.",1968,256,American Book Review,90,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/156192.The_Universal_Baseball_Association_Inc_J_Henry_Waugh_Prop_,http://www.librarything.com/work/90892/book/34147000,1932,Male,35,White,American,1901,3.83,591,3.73
Davies,Robertson,Fifth Business,1970,252,Modern Library Readers,40,Novel,Adult,English,NA,Male,NA,https://www.goodreads.com/book/show/74406.Fifth_Business,http://www.librarything.com/work/370/book/44213589,1913,Male,56,White,Canadian,15800,4.05,2733,4.159999999999999
Davies,Robertson,The Cunning Man,1994,480,Modern Library Readers,99,Novel,Adult,English,NA,Male,NA,https://www.goodreads.com/book/show/132293.The_Cunning_Man,http://www.librarything.com/work/14966/book/55330588,1913,Male,80,White,Canadian,2486,3.92,1372,3.9
de Lint,Charles,Greenmantle,1988,384,Modern Library Readers,58,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/186423.Greenmantle,http://www.librarything.com/work/36146/book/157045863,1951,Male,36,White,Canadian,3150,4,976,3.8899999999999997
de Lint,Charles,Memory and Dream,1994,400,Modern Library Readers,47,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/186439.Memory_and_Dream,http://www.librarything.com/work/36164/book/157045834,1951,Male,42,White,Canadian,4883,4.23,1440,4.1
de Lint,Charles,Moonheart,1984,448,Modern Library Readers,35,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/618174.Moonheart,http://www.librarything.com/work/36165/book/157045824,1951,Male,32,White,Canadian,5835,4.06,1673,4.04
de Lint,Charles,Mulengro,1985,400,Modern Library Readers,95,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/258475.Mulengro,http://www.librarything.com/work/99028/book/157045878,1951,Male,33,White,Canadian,1373,3.88,610,3.72
de Lint,Charles,Someplace to be Flying,1998,384,Modern Library Readers,41,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/186427.Someplace_to_Be_Flying,http://www.librarything.com/work/32411/book/157045825,1951,Male,46,White,Canadian,5376,4.31,1417,4.25
de Lint,Charles,The Little Country,1991,544,Modern Library Readers,60,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/186445.The_Little_Country,http://www.librarything.com/work/32432/book/157045870,1951,Male,39,White,Canadian,3932,4.07,1362,3.92
de Lint,Charles,Trader,1997,352,Modern Library Readers,50,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/186419.Trader,http://www.librarything.com/work/32455/book/157045855,1951,Male,45,White,Canadian,2727,4.09,949,3.9299999999999997
de Lint,Charles,Yarrow,1986,244,Modern Library Readers,44,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/186437.Yarrow,http://www.librarything.com/work/134281/book/141031725,1951,Male,34,White,Canadian,2415,3.91,960,3.82
DeLillo,Don,Libra,1988,480,American Book Review,55,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/400.Libra,http://www.librarything.com/work/968545/book/10084806,1936,Male,51,White,American,13162,3.99,3013,3.84
DeLillo,Don,Underworld,1997,832,American Book Review,19,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11761.Underworld,http://www.librarything.com/work/1154769/book/24429543,1936,Male,60,White,American,25211,3.92,6672,3.8899999999999997
Dick,Philip K.,The Man in the High Castle,1962,272,American Book Review,75,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle,http://www.librarything.com/work/16570/book/55399991,1928,Male,33,White,American,151781,3.62,10099,3.71
Dickey,James,Deliverance,1970,253,Modern Library Board,42,Novel,Adult,English,Mystery,Male,Primary,https://www.goodreads.com/book/show/592657.Deliverance,http://www.librarything.com/work/69712/book/24415090,1923,Male,46,White,American,28796,3.88,2068,3.9
