authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Tartt,Donna,The Goldfinch,2013,771,2014,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/17333223-the-goldfinch,http://www.librarything.com/work/13520191/book/123953872,1963,Female,49,White,American,618945,9329,3.98,3.91
Taylor,Peter,A Summons to Memphis,1986,209,1987,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/60737.A_Summons_to_Memphis,http://www.librarything.com/work/6078576/book/175320092,1917,Male,68,White,American,5618,832,3.48,3.67
Taylor,Robert Lewis,The Travels of Jaimie McPheeters,1958,544,1959,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/274746.The_Travels_of_Jaimie_McPheeters,http://www.librarything.com/work/301660/book/175319982,1912,Male,45,White,American,2856,290,4.21,3.94
Toole,John Kennedy,A Confederacy of Dunces,1980,416,1981,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,http://www.librarything.com/work/4096291/book/24614851,1937,Male,42,White,American,215789,17546,3.96,3.88
Tyler,Anne,Breathing Lessons,1988,350,1989,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/31181.Breathing_Lessons,http://www.librarything.com/work/2554460/book/175320098,1941,Female,46,White,American,22541,3668,3.6,3.66
Ugresic,Dubravka,Baba Yaga Laid an Egg,2009,336,2010,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,Croatian,Fantasy,Female,Primary,https://www.goodreads.com/book/show/6011268-baba-yaga-laid-an-egg,http://www.librarything.com/work/7139276/book/153516711,1949,Female,59,White,Croatian,1254,290,3.68,3.65
Updike,John,Rabbit is Rich,1981,480,1982,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/85391.Rabbit_Is_Rich,http://www.librarything.com/work/25793/book/55701169,1932,Male,48,White,American,14960,2088,3.92,3.9
Updike,John,Rabbit at Rest,1990,606,1991,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest,http://www.librarything.com/work/1317319/book/55701171,1932,Male,57,White,American,13885,2084,3.9899999999999998,3.97
Valente,Catherynne M.,In the Night Garden,2006,496,2006,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/202769.In_the_Night_Garden,http://www.librarything.com/work/1745710/book/145953939,1979,Female,26,White,American,6425,1281,4.26,4.14
VanderMeer,Jeff,Annihilation,2014,208,2015,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/17934530-annihilation,http://www.librarything.com/work/14034594/book/112352819,1968,Male,45,White,American,133403,3298,3.7,3.68
Vinge,Joan D.,The Snow Queen,1980,496,1981,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/139986.The_Snow_Queen,http://www.librarything.com/work/67871/book/141052602,1948,Female,31,White,American,11372,1908,3.96,3.95
Vinge,Vernor,A Fire Upon the Deep,1992,624,1993,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,http://www.librarything.com/work/18501/book/121648978,1944,Male,47,White,American,48241,4948,4.109999999999999,4.14
Vinge,Vernor,A Deepness in the Sky,1999,800,2000,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/226004.A_Deepness_in_the_Sky,http://www.librarything.com/work/18498/book/121648997,1944,Male,54,White,American,27360,3277,4.26,4.32
Vinge,Vernor,Rainbows End,2006,400,2007,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/102439.Rainbows_End,http://www.librarything.com/work/356695/book/121649021,1944,Male,61,White,American,15157,2503,3.56,3.77
Walker,Alice,The Color Purple,1982,295,1983,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/11486.The_Color_Purple,http://www.librarything.com/work/283/book/26544045,1944,Female,37,Black,American,471721,15204,4.13,4.2
Walton,Jo,Among Others,2011,304,2012,Hugo Award,World SF Society,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,1964,Female,46,White,English,20776,2306,3.9499999999999997,3.69
Walton,Jo,Among Others,2011,304,2012,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,1964,Female,46,White,English,20776,2306,3.9499999999999997,3.69
Walton,Jo,My Real Children,2014,336,2014,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/18490637-my-real-children,http://www.librarything.com/work/14333492/book/153516120,1964,Female,49,White,English,5340,650,3.9099999999999997,3.78
Warren,Robert Penn,All the King's Men,1946,439,1947,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,http://www.librarything.com/work/35392/book/24622697,1905,Male,40,White,American,53103,5824,4.119999999999999,4.09
Welty,Eudora,The Optimist's Daughter,1972,180,1973,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/12585.The_Optimist_s_Daughter,http://www.librarything.com/work/18292/book/136919228,1909,Female,62,White,American,9644,2088,3.53,3.51
Wharton,Edith,The Age of Innocence,1920,332,1921,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,http://www.librarything.com/work/2237/book/64301302,1862,Female,57,White,American,131267,10920,4.02,3.94
Whitehead,Colson,The Underground Railroad,2016,306,2017,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/30555488-the-underground-railroad,http://www.librarything.com/work/17491306/book/158531711,1969,Male,46,Black,American,236780,4444,4.06,4.02
Wilder,Thornton,The Bridge of San Luis Rey,1927,160,1928,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/92508.The_Bridge_of_San_Luis_Rey,http://www.librarything.com/work/25867/book/24622845,1897,Male,29,White,American,28009,3745,3.7800000000000002,3.8
Wilhelm,Kate,Where Late the Sweet Birds Sang,1977,254,1977,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/968827.Where_Late_the_Sweet_Birds_Sang,http://www.librarything.com/work/94169/book/141877748,1928,Female,48,White,American,8542,1411,3.84,3.87
Willis,Connie,Doomsday Book,1992,592,1993,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/24983.Doomsday_Book,http://www.librarything.com/work/27022/book/121649140,1945,Female,46,White,American,44440,6373,4.1,4.03
Willis,Connie,Doomsday Book,1992,592,1993,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/24983.Doomsday_Book,http://www.librarything.com/work/27022/book/121649140,1945,Female,46,White,American,44440,6373,4.1,4.03
Willis,Connie,To Say Nothing of the Dog,1997,512,1999,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog,http://www.librarything.com/work/26773/book/121649164,1945,Female,51,White,American,30466,5565,4.1499999999999995,4.13
Willis,Connie,All Clear,2010,656,2011,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6506307-blackout,http://www.librarything.com/work/9534757/book/144803543,1945,Female,64,White,American,19866,1770,4.07,3.83
Willis,Connie,All Clear,2010,656,2011,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/6506307-blackout,http://www.librarything.com/work/9534757/book/144803543,1945,Female,64,White,American,19866,1770,4.07,3.83
Willis,Connie,Blackout,2010,491,2011,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/7519231-all-clear,http://www.librarything.com/work/8903481/book/144803542,1945,Female,64,White,American,15771,2528,3.84,4.07
Willis,Connie,Blackout,2010,491,2011,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/7519231-all-clear,http://www.librarything.com/work/8903481/book/144803542,1945,Female,64,White,American,15771,2528,3.84,4.07
Wilson,Margaret,The Able McLaughlins,1923,262,1924,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/542883.The_Able_McLaughlins,http://www.librarything.com/work/1185508/book/175319869,1882,Female,40,White,American,1036,125,3.38,3.66
